[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:35:09]   OK apple/servicetalk: 28 commits, 86 PRs
[2025-08-18 17:35:12]   OK apple/swift-numerics: 34 commits, 93 PRs
[2025-08-18 17:35:14]   OK apple/pkl: 17 commits, 94 PRs
[2025-08-18 17:35:17]   OK apple/swift-crypto: 12 commits, 88 PRs
[2025-08-18 17:35:20]   OK apple/swift-nio-ssl: 3 commits, 96 PRs
[2025-08-18 17:35:22]   OK apple/swift-cassandra-client: 3 commits, 47 PRs
[2025-08-18 17:35:23]   OK apple/ml-icr2: 2 commits, 0 PRs
[2025-08-18 17:35:25]   OK apple/ml-winoidentity: 1 commits, 0 PRs
[2025-08-18 17:35:28]   OK apple/axlearn: 55 commits, 81 PRs
[2025-08-18 17:35:31]   OK apple/pkl-go: 8 commits, 86 PRs
[2025-08-18 17:35:33]   OK apple/swift-argument-parser: 0 commits, 92 PRs
[2025-08-18 17:35:35] Rate limit hit, stopping collection
[2025-08-18 17:35:35] Error getting metrics for apple/ml-pfl4asr: Rate limit exceeded
[2025-08-18 17:35:35] Rate limit reached. Waiting 1 hour before retrying...
[2025-08-18 18:35:35] Resuming collection after 1 hour wait
[2025-08-18 18:35:36]   OK apple/ml-pfl4asr: 1 commits, 0 PRs
[2025-08-18 18:35:39]   OK apple/swift-llbuild2: 9 commits, 97 PRs
[2025-08-18 18:35:41]   OK apple/swift-binary-parsing: 3 commits, 21 PRs
[2025-08-18 18:35:42]   OK apple/pkl-intellij: 3 commits, 56 PRs
[2025-08-18 18:35:45]   OK apple/coremltools: 11 commits, 90 PRs
[2025-08-18 18:35:48]   OK apple/swift-system: 34 commits, 93 PRs
[2025-08-18 18:35:50]   OK apple/pkl-lang.org: 0 commits, 35 PRs
[2025-08-18 18:35:52]   OK apple/ml-encqa: 1 commits, 0 PRs
[2025-08-18 18:35:54]   OK apple/app-store-server-library-swift: 0 commits, 61 PRs
[2025-08-18 18:35:56]   OK apple/app-store-server-library-python: 0 commits, 80 PRs
[2025-08-18 18:35:59]   OK apple/swift-async-algorithms: 1 commits, 81 PRs
[2025-08-18 18:36:01]   OK apple/pkl-package-docs: 0 commits, 10 PRs
[2025-08-18 18:36:02]   OK apple/SwiftUsd: 16 commits, 0 PRs
[2025-08-18 18:36:04]   OK apple/SwiftUsd-Tests: 8 commits, 0 PRs
[2025-08-18 18:36:05]   OK apple/SwiftUsd-ast-answerer: 7 commits, 0 PRs
[2025-08-18 18:36:08]   OK apple/swift-log: 2 commits, 77 PRs
[2025-08-18 18:36:11]   OK apple/password-manager-resources: 4 commits, 92 PRs
[2025-08-18 18:36:14]   OK apple/swift-distributed-tracing: 2 commits, 90 PRs
[2025-08-18 18:36:17]   OK apple/swift-nio-extras: 5 commits, 97 PRs
[2025-08-18 18:36:19]   OK apple/pkl-swift: 4 commits, 42 PRs
[2025-08-18 18:36:20]   OK apple/device-management: 0 commits, 0 PRs
[2025-08-18 18:36:22]   OK apple/pkl-vscode: 2 commits, 40 PRs
[2025-08-18 18:36:25]   OK apple/swift-nio-transport-services: 3 commits, 96 PRs
[2025-08-18 18:36:28]   OK apple/swift-certificates: 3 commits, 93 PRs
