[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:31:36]   OK telekom-mms/ansible-role-haproxy: 0 commits, 6 PRs
[2025-08-18 17:31:38]   OK telekom-mms/ansible-collection-inspec: 0 commits, 8 PRs
[2025-08-18 17:31:40]   OK telekom-mms/gitlab-ci-validator: 1 commits, 43 PRs
[2025-08-18 17:31:42]   OK telekom-mms/chrome4testing-download: 0 commits, 27 PRs
[2025-08-18 17:31:44]   OK telekom-mms/ansible-role-semodule: 0 commits, 3 PRs
[2025-08-18 17:31:45]   OK telekom-mms/ansible-redis: 0 commits, 9 PRs
[2025-08-18 17:31:47]   OK telekom-mms/terraform-otc-vpc: 1 commits, 0 PRs
[2025-08-18 17:31:49]   OK telekom-mms/terraform-otc-smn: 1 commits, 0 PRs
[2025-08-18 17:31:53]   OK telekom-mms/terraform-otc-security-groups: 1 commits, 0 PRs
[2025-08-18 17:31:55]   OK telekom-mms/terraform-otc-rds: 1 commits, 0 PRs
[2025-08-18 17:31:57]   OK telekom-mms/terraform-otc-obs: 1 commits, 0 PRs
[2025-08-18 17:31:58]   OK telekom-mms/terraform-otc-monitoring: 1 commits, 0 PRs
[2025-08-18 17:32:00]   OK telekom-mms/terraform-otc-kms: 1 commits, 0 PRs
[2025-08-18 17:32:02]   OK telekom-mms/terraform-otc-functiongraph: 1 commits, 0 PRs
[2025-08-18 17:32:03]   OK telekom-mms/terraform-otc-elb: 1 commits, 0 PRs
[2025-08-18 17:32:05]   OK telekom-mms/terraform-otc-dds: 1 commits, 0 PRs
[2025-08-18 17:32:07]   OK telekom-mms/terraform-otc-apig: 1 commits, 0 PRs
[2025-08-18 17:32:09]   OK telekom-mms/terraform-aws-vpc: 1 commits, 0 PRs
[2025-08-18 17:32:10]   OK telekom-mms/terraform-aws-sns: 1 commits, 0 PRs
[2025-08-18 17:32:12]   OK telekom-mms/terraform-aws-security-groups: 1 commits, 0 PRs
[2025-08-18 17:32:13]   OK telekom-mms/terraform-aws-s3: 1 commits, 0 PRs
[2025-08-18 17:32:15]   OK telekom-mms/terraform-aws-rds: 1 commits, 0 PRs
[2025-08-18 17:32:17]   OK telekom-mms/terraform-aws-lambda: 1 commits, 0 PRs
[2025-08-18 17:32:18]   OK telekom-mms/terraform-aws-kms: 1 commits, 0 PRs
[2025-08-18 17:32:20]   OK telekom-mms/terraform-aws-iam-roles: 1 commits, 0 PRs
